grant_id,title,abstract,year,institute,institution,abstract_length,word_count,fqhc_keyword_count,has_fqhc_terms,full_text,is_fqhc_focused,fqhc_score,primary_condition,study_type,population,data_source,section_names,source_pdf,extraction_method,extraction_quality,page_count,char_count,ingested_at,processing_time_s,has_specific_aims,has_methods,has_background,section_count,extraction_warnings
5R01GM143316-03,Regulation of Telomere Maintenance in Fission Yeast,"Our laboratory is interested in understanding how eukaryotic cells ensure the maintenance of telomeres, the natural ends of linear eukaryotic chromosomes. Evolutionarily conserved shelterin and CST (CTC1/Cdc13- STN1-TEN1) complexes play essential roles in telomerase recruitment and protection of telomeres against DNA repair and checkpoint factors. Stable maintenance of telomeres is critical to preserve genomic integrity and prevent accumulation of undesired mutations that might lead to tumor formation. Regulation of telomere structures and telomerase also affect cell proliferation and tissue maintenance in aging organisms. Therefore, basic mechanistic studies investigating how telomere and DNA damage response proteins collaborate in proper telomere maintenance should provide critical insights necessary to help devise more effective treatment strategies against tumors or other age-related diseases. Our proposed research projects utilize fission yeast Schizosaccharomyces pombe. Fission yeast telomeres serve as a good model for human telomeres, since proteins involved in telomere maintenance are highly conserved between fission yeast and humans. Studies from our lab and others have provided detailed insights how fission yeast shelterin and Stn1-Ten1 ensure stable maintenance of telomeres in fission yeast. Those include findings that (1) Tel1ATM/Rad3ATR_ dependent phosphorylation of the shelterin subunit Ccq1 on Thr93 promotes telomerase recruitment by promoting interaction between Ccq1 and the telomerase subunit Est1, and (2) SUMOylation of another shelterin subunit Tpz1ree, on Lys242 facilitates Stn1-Ten1 recruitment to telomeres and limits telomere extension. Evolutionarily conserved ""TEL patch"" residues within Tpz1 have also been found to promote telomerase activation and recruitment, further highlighting the well conserved nature of telomere regulation by fission yeast and mammalian shelterin. Our analyses of temporal binding patterns for DNA polymerases, telomerase, shelterin and Stn1 found that shelterin subunits Rap1 and Poz1 and the Stn1-Ten1 complex promote timely dissociation of telomerase from telomeres by promoting recruitment of Pola to complete lagging strand synthesis at telomeres. For the current grant application, our proposed experiments will (1) identify and characterize underlying regulatory mechanism(s) that allow Ccq1 and Poz1 to promote Pola-dependent telomere protection (Aim 1), (2) identify new interaction partners of Stn1-Ten1 complex and characterize their contributions to recruitment/retention of Stn1-Ten1 complex at telomeres and non-telomeric sites (Aim 2), and (3) investigate how regulation of TERRA vs. poly(A)+ TERRA expression modulates Stn1-Ten1-Pola recruitment at telomeres (Aim 3).",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,2763.0,368,0.0,False,,,,,,,,,,,,,,,,,,,,
5R35GM142743-04,Integrated three-dimensional (3D) microscopy for a spatial pharmacology atlas of macromolecular drugs in the tissue microenvironment,"Project Summary The goal of this project is to develop a new tissue assay method that permits single-cell resolution pharmacokinetics (PK) and pharmacodynamics (PD) profiling of macromolecular drugs in the spatial context of the organ-specific tissue microenvironment in both healthy and diseased states. With the integrated 3D microscopy, we will 1) map blood vasculature and transvascular transport of macromolecular drugs; 2) image the distribution and interaction of macromolecular drugs with multiple cell types in the tissue microenvironment; 3) determine cellular responses to macromolecular drugs in sub-microenvironment regions at the molecular level. This high-resolution 3D multiplex microscopy method will advance “Spatial Pharmacology” in the pharmaceutical sciences by enabling the mapping of the transport, distribution, and biological actions of macromolecular drugs in tissue specimens at the tissue-wide, cellular and molecular levels. The maps will provide new insights into transvascular transport of macromolecular drugs, drug-cell interactions, and biological responses of various cells to drugs in different sub-microenvironment regions of an organ. The collection of the maps, The Atlas of Spatial Pharmacology, will be a solid standard reference in the research and preclinical development of macromolecular drugs.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,1339.0,183,0.0,False,,,,,,,,,,,,,,,,,,,,
5F30DE033287-02,NG2/CSPG4 in Mandibular Endochondral Fracture Healing,"This application represents a training plan designed to provide mentoring, career development, and support to the applicant as a clinician-scientist seeking to move research from the benchtop to the bedside in craniofacial and oral sciences. The training plan encompasses laboratory experimentation and professional and career development opportunities, and the plan is supported by the outstanding local and institutional resources available at UIC. The proposed research will address an important unmet clinical need facing craniofacial trauma. While the mandible is the strongest and largest facial bone, there is a high level of incidence for mandibular fractures. Unstable mandibular fractures exhibit delayed healing compared to fixed fractures, and their healing involves a chondrocyte-to-osteoblast developmental pathway that is not yet fully understood. Understanding the specific molecular pathways that control fracture resolution is important for improving clinical outcomes and the development of new therapeutics. The focus of this study is on a transmembrane proteoglycan, NG2/CSPG4. This molecule has been implicated in the mechanical response of mandibular chondrocytes in the temporomandibular joint and the progression of osteoarthritis, but it has not been studied in the context of endochondral fracture healing. The research plan in this proposal utilizes a preclinical murine model of endochondral fracture healing in the mandible, together with transgenic knockout animal models, to define the role of NG2/CSPG4 in the cell differentiation cascade that is required for the successful mineralization of a fracture callus. The proposed research plan will test the central hypothesis that mechanical loading-dependent NG2/CSPG4 signaling regulates the differentiation of osteochondral progenitor cells during endochondral ossification in mandibular fractures. Long-term, our goal is to understand how cells make decisions about their fate during bone regeneration. Aim 1 will evaluate the role of NG2/CSPG4 in the ability of osteochondral progenitor cells to differentiate into cartilage. Aim 2 will focus on the role of NG2/CSPG4 in the ability of cartilage cells to undergo mineralization. Together, the data generated from this project will address an important gap in knowledge surrounding mandibular fracture healing and bone biology more broadly and may identify a new therapeutic target for clinical intervention.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,2441.0,344,0.0,False,,,,,,,,,,,,,,,,,,,,
5R01DA056447-02,Impact of Cannabis on Prefrontal Maturation,"Converging human association studies link cannabis abuse during adolescence with an increased likelihood of developing cognitive and emotional regulation deficits later in life, many of which are refined and dependent on prefrontal cortex (PFC) maturation during adolescence. However, the neurobiology underlying this adolescent vulnerability remains unclear due to our limited knowledge on how adolescent cannabis exposure impacts the maturation of neural circuits. Our long-term goal is to identify sensitive neurodevelopmental processes that are vulnerable to repeated cannabis exposure, with emphasis on PFC neuronal circuits that undergo functional remodeling during adolescence. Data from our recent studies revealed that a hallmark of PFC maturation is the re-calibration of an excitatory-inhibitory (E-I) balance during adolescence that is required for sustaining proper PFC-mediated behaviors in adulthood. Our data also indicate that it is the maturation of GABA function that renders the PFC labile during adolescence, a developmental process that is intimately linked to the activity of afferent transmission from the ventral hippocampus. Similarly, adolescent, but not adult, exposure to THC impaired the maturation of PFC GABA function. This raises the exciting possibility that the PFC deficit resulting from adolescent THC exposure is mechanistically linked to the disruption of specific inputs driving PFC maturation. Based on our preliminary data, we will test the central hypothesis that the developing PFC GABA circuit during adolescence is highly sensitive to the negative impact of cannabis through a ventral hippocampal -mediated mechanism. Thus, the rationale for undertaking this research is that if PFC GABA maturation is compromised by adolescent THC exposure, the normal facilitation of PFC inhibitory control will be arrested, which in turn could lead to an enduring state of PFC disinhibition resulting in behavioral deficits in adulthood. We will fill this gap in knowledge through the pursuit of 3 Specific Aims. We will use a recently developed combustion/smoking chamber to deliver THC at 3 non-overlapping adolescent windows to establish the precise period during which changes in PFC GABA function (Aim 1) and PFC-sensitive behaviors (Aim 2) are susceptible to repeated THC exposure. Currently available input-specific DREADD manipulations will be used in Aim 3 to establish whether the enduring PFC GABA deficit elicited by THC is causally linked to disruption of ventral hippocampal-to-PFC transmission.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,2541.0,366,0.0,False,,,,,,,,,,,,,,,,,,,,
5U01FD008126-02,Clinically Relevant Biomarkers for Niemann-Pick Type C,"Project Summary Niemann-Pick Type C (NPC) is an autosomal recessive, lysosomal storage disorder with progressive neurodegeneration and no FDA-approved therapy. Over the past decade, our research team has dedicated efforts to establishing a robust Natural History Study along with efforts to identify biomarkers to enhance our understanding of the disease. In this project, we will leverage our complementary expertise to define a catalog of biomarkers to facilitate future clinical trials. The biomarkers that we will characterize will ultimately provide information on disease progression, prognosis, are associated with commonly affected pathways in NPC and will predict therapeutic response. Towards this goal, we will 1) prioritize and validate biomarkers that reflect neuropathological alterations, 2) identify and characterize proximal biomarkers of NPC1 then 3) investigate multiple biomarkers, representing different aspects of NPC1 neuropathology, to provide prognostic information that can be used in parental counseling and to stratify this heterogeneous disorder for therapeutic trials. Our research team’s extensive discovery efforts have revealed twelve candidate markers. Within the scope of this project is our short-term goal to evaluate these markers in a larger cohort of biospecimens using custom developed and easily transferrable methods. Our long-term goal is to utilize these biomarkers as indicators of response in future clinical trials.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,1463.0,204,0.0,False,,,,,,,,,,,,,,,,,,,,
2R35GM127134-06,Unraveling context specificity of translation by elucidating the mechanism of action of auxiliary translation factors,"The research in the laboratory focuses on understanding the fundamental mechanisms of translation and action of ribosome-targeting antibiotics. One of the underappreciated aspects of translation that has transpired from our studies is its context specific nature. We learned that the ability of the ribosome to decode genetic information rapidly and efficiently is significantly influenced by the nature of its tRNA and mRNA substrates and/or properties of the polypeptide being made. Specific sequences have been identified as difficult to polymerize but, more than likely, there are many other that also present an obstacle for the translating ribosome. Why some sequences are challenging for translation and what mechanisms exist in the cell to help the ribosome overcome such problems are questions that have remained unanswered. Several conserved auxiliary translation factors (auxTFs) encoded in the bacterial genomes are thought to assist the ribosome in synthesizing proteins during fast growth or under stress, likely facilitating translation of the problematic sequence motifs. However, our knowledge of the nature of the sequences whose translation is facilitated by the auxTFs, about the molecular mechanisms of their action and of their physiological significance is limited at best. Answering these vexing questions is the goal of the proposal. We will use crosslinking-based ribosome profiling (XLRibo-seq) to map the genomic sites where auxTFs are recruited to the ribosome. Guided by these genome-wide data, we will select the most revealing gene models to dissect in vitro the precise nature of the problematic sequence motifs and elucidate the molecular mechanisms of the auxTF action. The inferred mechanisms will be validated in vivo and the physiological role of the auxTFs will be deduced by following the expression of specifically designed reporters under suitable growth conditions or using the appropriate mutants. The overall experimental approach will be first optimized using, as a model system, translation termination factors RF1 and RF2, and then applied to four most intriguing auxTFs (LepA, EttA, BirA and HflX) whose specificity, activity and physiological role remain enigmatic despite being investigated previously by other techniques. The approach could be extended to several other known or suspected auxTFs and even to the main translation factors whose activity could be conceivably modulated by the context of the translated sequence. The innovation of the proposal stems from the development of new methodologies (XLRibo-seq) with a broad application to studies of basic mechanisms of translation, and from revealing the functions and molecular mechanisms of action of conserved proteins playing important roles in expression of genetic information. The experiments build upon the long-term interests, previous findings, and expertise of our research group. The project will provide new training and teaching opportunities and facilitate the outreach activities of the lab.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,3017.0,443,0.0,False,,,,,,,,,,,,,,,,,,,,
5R01DE033167-02,Dual Delivery of Engineered EVs and Growth Factor for Bone Regeneration,"The inflammatory conditions and the complex physiological changes associated with chronic immunological responses to wound healing in type 2 diabetes (T2DM) challenge the outcomes of the treatments for bone regeneration. The related morbidity and costs associated with bone healing failures are considerable and increasing. Recent discoveries have demonstrated that the immune system is tightly linked to bone physiology and that MSC derived extracellular vesicles (EVs) play a prominent role in immunomodulation of bone repair. While recombinant human bone morphogenetic protein 2 (rhBMP2) mediated bone regeneration is well established, the challenges of controlling inflammation arising from rhBMP2 usage is exacerbated in the presence of immunomodulating systemic diseases such as T2DM present a significant knowledge gap that limit clinical outcomes. Based on preliminary studies of inflammation informed MSC EV microRNA (miRNA) composition and effects on immunomodulation and bone regeneration, we hypothesize that a dual delivery of engineered MSC EVs with anti-inflammatory properties and rhBMP2 using a combinatorial delivery system with self-assembling leucine zipper (LZ) peptide-based hydrogels and alginate beads can enhance bone healing in T2DM. We propose three specific aims to test this hypothesis. In aim 1, we will test our preliminary data driven hypothesis that a subset of altered miRNAs in preconditioned MSC EVs contributes to the enhanced immunomodulatory function of the inflammatory preconditioned MSC derived EVs. We will also generate engineered MSC EVs that overexpress candidate miRNA with anti-inflammatory properties to further study the mechanistic aspects by which individual EV related miRNAs control the immunomodulation functionality. In aim 2, we will create a novel dual delivery system with LZ-hydrogels and alginate beads that contain engineered EVs and rhBMP2 respectively. We will test our hypothesis that 1) EVs with anti-inflammatory properties (generated from aim 1) can be released during the inflammatory phase of healing (up to 7 days) from a self-assembling LZ- hydrogel and 2) rhBMP2 that is encapsulated in alginate beads with an extended-release profile (4-6 weeks) can provide a long term osteoinductive signal to promote/enhance bone regeneration. In aim 3, using a diabetic mouse calvarial defect model, we will test the hypothesis that engineered MSC EVs containing anti-inflammatory miRNA will suppress inflammation upon wounding while sustained released rhBMP2 promote bone healing. Overall, the results of these first studies of the combinatorial usage of engineered and MSC EVs rhBMP2 will provide a foundation for continued definition of MSC EV-mediated immunomodulation, and the regenerative properties and applicability of the dual delivery system to bone healing in T2DM. Further, these studies will also provide a framework for the use of growth factors and engineered EVs in combination for tissue engineering applications.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,2991.0,429,0.0,False,,,,,,,,,,,,,,,,,,,,
5UG3TR004501-02,Integration and interoperability of complex data and tissues from the human brain,"Project Summary: Health information is siloed and often suffers from the sheer volume and the heterogeneous nature of complex datasets. This is in stark contrast to what a physician does when a patient is evaluated. Data from electronic health records, blood tests, imaging, electrical recordings, genomic studies, and neuropsychological measures are combined in the clinician’s mind to find the best diagnosis and treatment plan. Nowhere is this more challenging than for studies of the human brain. We have developed a one-of-a-kind human brain tissue bank where each brain sample is spatially linked to a comprehensive multimodal dataset using standardized tissue processing techniques using a home-grown software platform called INTUITION. Highly curated and integrated data are assembled from patients to help both in clinical care and provide a unique research platform for the human brain that is linked to fresh human brain tissues samples. Many patients undergo complex, multistep brain surgeries to treat their seizures. Studies using these standardized tissue methods and INTUITION software have already led to important new discoveries including molecular (genomic, proteomic, metabolomic) biomarkers, imaging methods, brain network discovery, and therapeutic targets that would otherwise not have been identified. The major goals for this collaborative innovation award are to adapt, modify, and expand INTUITION and a brain tissue collection educational program into a standardized, virtual tissue bank and federated data platform for dissemination through 3 CTSA hubs with teams at 5 collaborating institutions in the city of Chicago. The platform leverages common data elements and will use a team of experts to develop new ones. As part of this ambitious project, we will optimize brain image visualization and EEG tools, work with a highly diverse patient population that spans the age spectrum (pediatric and adult) and develop user-friendly tools that will be sustainable because of their combined utility for clinical care and research. Given the extraordinary value of highly curated fresh human brain tissues and the fact that brain surgeries are becoming less invasive, it is important that we take full advantage of these priceless tissues as soon as possible. We will develop a hands-on education program followed by web-based training modules for human brain tissue localization and processing in parallel with standardized data processing, storage and upload methods for images and EEG studies at each of the 5 sites. This is especially important for rare brain disorders that require collaboration from many centers to create a standardized, virtual pool of tissue samples and associated data.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,2722.0,408,0.0,False,,,,,,,,,,,,,,,,,,,,
3K12AR084225-06S1,UIC Building Interdisciplinary Research Careers in Women's Health Program,"This Supplement proposes to extend the ongoing support for two individuals through the end of the UIC BIRCWH grant period. One individual is a Hispanic physician scientist who was appointed as a BIRCWH Scholar in September 2022 through an administrative supplement. His program of research focuses on health disparities in cervical cancer. The second is a Black scientist who was appointed as a BIRCWH postdoctoral trainee in August 2023 through the second administrative supplement. Her program of research focuses on a dietary lifestyle intervention developed with and for pregnant Black women to prevent gestational diabetes and lower cardiometabolic risk. That postdoctoral trainee succeeded in securing a faculty position as a tenure-track Assistant Professor in the UIC College of Pharmacy, and these additional funds would provide her the opportunity to transition to a BIRCWH Scholar. Both individuals would continue their ongoing participation in the UIC BIRCWH. The long-term goal of the UIC BIRCWH program is to promote training and career development of a new generation of researchers equipped with the knowledge and career skills necessary to advance science for the health of women in the next decade and beyond. We are based in the UIC College of Medicine, but draw on the interdisciplinary strengths of UIC’s seven health colleges. With supplemental funding, the 2019-2024 UIC BIRCWH has trained 8 researchers in women’s or sex/gender-based health research: 4 clinician (MD) Scholars, 3 PhD Scholars, and 1 Postdoctoral trainee. With the requested continued funding and her new faculty appointment, the postdoctoral fellow would transition to become a BIRCWH Scholar. The UIC BIRCWH capitalizes on four program strengths: (1) our success in launching the careers of a diverse cohort of 25 junior faculty and one postdoctoral fellow in women’s health research (35% Black or Hispanic); (2) alignment with the goals of the NIH and Office for Research on Women’s Health; (3) the highly interdisciplinary nature of the program and integration across UIC and regional BIRCWH Programs; and (4) the use of evidence-based mentoring practices to prepare scholars to conduct team science and address barriers facing new female and URM investigators. Our short-term objectives build upon these strengths through ongoing program activities and several new initiatives. Ongoing activities include: a) supplementing team mentoring programs with new training and tools, b) optimizing existing and new UIC partnerships, and c) augmenting our strong didactic curriculum in women’s health research. BIRCWH activities at UIC related to sex and gender influences in health and disease will advance the ORWH goal to accelerate the translation of knowledge into improved health care for women.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,2787.0,423,1.0,False,,,,,,,,,,,,,,,,,,,,
1P20MD019989-01,Geospatial Data Analysis Core,"PROJECT SUMMARY GEOSPATIAL DATA ANALYSIS CORE The overall goal of the Geospatial Data Analysis Core (GDAC) is to support the ongoing data development and associated analytic and computing needs of the UIC Center for Climate and Health Equity (CECHE). The GDAC will support the multi-disciplinary team of scientists working on the Research Project and pilot projects, work closely with the Community Engagement and Outreach Core (CEOC) throughout the project period, and establish priorities in coordination with the CECHE Director and Administrative Core. The specific aims of the GDAC are to: 1) building on spatial analytics and data-science expertise, prepare and provide innovative nature-based, climate and health-related spatiotemporal datasets and bridge multidisciplinary CECHE investigators including climate science, population-health, exposure science, engineering, urban planning, and health policy; 2) enable state-of-the-art, epidemiological, statistical, and spatio-temporal analytics to advance innovative climate and health research in Chicago and across the nation; 3) support the work of the CEOC and research project investigators, and support the CEOC by providing meaningful and accessible materials on the results emanating from CECHE; and 4) provide capacity building for communities through a Climate Health Institute in collaboration with the COEC and key community-based partners to create and sustain a Climate Health Institute to train citizen scientists, advance data collection and interpretation, and enhance environmental health literacy. By providing novel climate-related exposure and health data resources, developing advanced spatio-temporal data architectures, coordinating spatial analysis, statistical support, and community engagement and capacity building, the GDAC will facilitate interdisciplinary collaborations, respond to community needs, and play a vital role in advancing climate and health equity.",2024,,UNIVERSITY OF ILLINOIS AT CHICAGO,1947.0,262,0.0,False,,,,,,,,,,,,,,,,,,,,
